Confidence,Correct
17.339285714285715,0
16.037142857142857,0
17.180714285714284,1
16.554464285714285,1
16.576428571428572,1
16.17375,0
19.949285714285715,0
17.229642857142856,0
17.724642857142857,1
16.554464285714285,0
17.324285714285715,0
17.409642857142856,0
17.18732142857143,0
16.309285714285714,0
17.33,0
18.505357142857143,1
17.915892857142858,0
19.58904867256637,1
16.811964285714286,0
17.50482142857143,1
17.584642857142857,1
16.95875,1
19.46375,0
16.365178571428572,0
16.293035714285715,0
18.06375,0
17.595892857142857,0
18.06642857142857,0
15.855714285714285,0
18.180892857142858,1
16.814315352697097,1
17.340892857142858,0
17.305892857142858,1
16.733035714285716,0
16.831071428571427,0
18.55107142857143,0
16.98785714285714,0
17.39142857142857,0
16.82125,0
18.006607142857142,0
17.892678571428572,1
16.939642857142857,0
17.869904891304348,1
17.52625,1
17.890714285714285,1
17.566785714285714,0
18.861964285714286,1
18.45875,1
17.512857142857143,1
17.793928571428573,1
19.440714285714286,0
16.329642857142858,0
16.468035714285715,0
16.895357142857144,0
16.948035714285716,0
15.750714285714286,0
17.765714285714285,1
17.107857142857142,1
17.654821428571427,0
17.738214285714285,1
18.17125,0
19.276785714285715,1
16.573392857142856,0
16.49232142857143,0
18.79267857142857,0
20.205714285714286,0
18.055892857142858,0
19.07482142857143,1
18.547857142857143,1
18.357321428571428,0
16.69589285714286,0
18.355357142857144,1
18.097857142857144,0
17.355,1
17.256607142857142,0
18.001607142857143,0
16.900535714285713,0
17.33982142857143,0
16.006964285714286,0
16.997294372294373,1
20.528392857142858,0
16.88232142857143,0
18.21982142857143,0
17.28964285714286,0
19.959107142857142,0
18.03392857142857,1
16.13875,0
17.106785714285714,0
17.5775,0
17.744642857142857,0
16.2525,1
15.979642857142856,0
16.57125,0
16.14392857142857,0
17.13267857142857,0
18.159107142857142,1
19.985535714285714,1
16.773392857142856,0
17.043928571428573,0
16.72607142857143,0
